Chromosome 1	155011307	30	"146,750,469"	"15,610,274"	"15,410"	29
Chromosome 2	135415751	12	"128,477,138"	"37,201,835"	"13,286"	11
Chromosome 3	116796116	23	"110,641,261"	"14,391,519"	"11,501"	22
Chromosome 4	115961478	12	"110,086,477"	"18,826,986"	"11,093"	11
Chromosome 5	111055201	22	"104,913,857"	"12,248,668"	"11,531"	21
Chromosome 6	114334461	27	"107,933,544"	"27,508,386"	"11,600"	26
Chromosome 7	106547263	18	"101,181,361"	"12,042,673"	"10,236"	17
Chromosome 8	111020524	16	"105,236,629"	"16,804,785"	"10,633"	15
Chromosome 9	90293942	15	"85,779,712"	"15,236,765"	"8,248"	14
Chromosome 10	99198151	11	"94,496,243"	"14,345,620"	"8,777"	10
Chromosome 11	105305070	20	"99,690,057"	"16,740,967"	"10,819"	19
Chromosome 12	82535142	10	"78,314,933"	"14,493,110"	"8,002"	9
Chromosome 13	80625018	7	"77,080,568"	"17,989,109"	"6,947"	6
Chromosome 14	92306894	7	"87,542,949"	"21,375,587"	"8,379"	6
Chromosome 15	78986926	22	"74,874,550"	"7,947,430"	"7,475"	21
Chromosome 16	77678508	15	"73,840,658"	"15,658,223"	"7,131"	14
Chromosome 17	71877645	16	"67,922,656"	"9,081,024"	"7,198"	15
Chromosome 18	61067880	16	"57,940,036"	"13,839,602"	"6,533"	15
Chromosome 19	62130014	6	"59,317,189"	"32,194,681"	"6,189"	5
Chromosome 20	71279863	8	"67,833,325"	"12,075,118"	"6,551"	7
Chromosome 21	66773250	13	"63,268,581"	"12,572,429"	"6,488"	12
Chromosome 22	57956300	5	"55,276,045"	"34,558,497"	"5,452"	4
Chromosome 23	49403180	12	"47,042,710"	"12,556,630"	"4,777"	11
Chromosome 24	61756751	6	"58,607,927"	"37,337,511"	"5,569"	5
Chromosome 25	41496684	8	"39,202,960"	"36,617,651"	"4,720"	7
Chromosome 26	50169583	11	"47,426,467"	"6,601,287"	"5,100"	10
Chromosome 27	44118849	4	"42,112,110"	"10,758,992"	"3,784"	3
Chromosome 28	43231948	10	"41,173,662"	"7,569,118"	"3,913"	9
Chromosome 29	48376377	19	"45,334,046"	"4,668,708"	"5,428"	18
